"","PARK","BOROUGH","SIZE","CATEGORY","MURDER","RAPE","ROBBERY","FELONY_ASSAULT","BURGLARY","GRAND_LARCENY","GRAND_LARCENY__MOTOR","TOTAL","Year","Quarter"
"7255","JOSEPH AUSTIN PLAYGROUND","QUEENS       ",3.81,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7256","UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD","QUEENS       ",3.81,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7257","LINCOLN CENTER PLAZA","MANHATTAN    ",3.8,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7258","INGRAM WOODS","STATEN ISLAND",3.77,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7259","FARM PLAYGROUND","QUEENS       ",3.76,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7260","HINTON PARK","QUEENS       ",3.74,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7261","LOUIS PASTEUR PARK","QUEENS       ",3.67,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7262","WHITEY FORD FIELD","QUEENS       ",3.62,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7263","POMONOK PLAYGROUND","QUEENS       ",3.6,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7264","CLAWSON PLAYGROUND","STATEN ISLAND",3.59,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7265","BENNETT REST","MANHATTAN    ",3.57,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7266","GOVERNOR SMITH PLAYGROUND","BRONX        ",3.56,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7267","PAERDEGAT PARK","BROOKLYN     ",3.56,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7268","AMERSFORT PARK","BROOKLYN     ",3.56,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2016,"Q3"
"7269","CITY LINE PARK","BROOKLYN     ",3.55,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7270","BAILEY PLAYGROUND","BRONX        ",3.53,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7271","NAUTILUS PLAYGROUND QUEENS","QUEENS       ",3.52,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7272","VINMONT VETERAN PARK","BRONX        ",3.5,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7273","MCDONALD PLAYGROUND BROOKLYN","BROOKLYN     ",3.49,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7274","THE OLDE TOWNE OF FLUSHING BURIAL GROUND","QUEENS       ",3.47,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7275","WEGENER PARK","STATEN ISLAND",3.46,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7276","UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 89TH TO OLD BEACH 88TH STREET","QUEENS       ",3.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7277","JULIO CARBALLO FIELDS","BRONX        ",3.43,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7278","GRADY PLAYGROUND","BROOKLYN     ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7279","CO-OP CITY FIELD","BRONX        ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7280","BREININGER PARK","QUEENS       ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7281","ST. MICHAEL'S PARK","QUEENS       ",3.4,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7282","GREENWOOD PLAYGROUND","BROOKLYN     ",3.39,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7283","ST. ANDREW'S PLAYGROUND","BROOKLYN     ",3.38,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7284","SEWARD PARK","MANHATTAN    ",3.36,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2016,"Q3"
"7285","BEHAGEN PLAYGROUND","BRONX        ",3.35,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
